County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Onondaga County, New York",454753,450355,216874,52234,14829,37405,138836,13598,125238,25804,2958,22846,233481,51764,14159,37605,146295,20009,126286,35422,5214,30208,36,067,2009
"Ontario County, New York",105650,104324,51879,12162,2844,9318,33037,1965,31072,6680,501,6179,52445,11406,2597,8809,32814,2811,30003,8225,1125,7100,36,069,2009
"Orange County, New York",383532,370574,182337,54063,15812,38251,111936,7813,104123,16338,2041,14297,188237,50145,13570,36575,116683,11781,104902,21409,3197,18212,36,071,2009
"Oswego County, New York",121377,120788,59750,14029,5845,8184,39454,5569,33885,6267,1138,5129,61038,13542,4618,8924,39415,7674,31741,8081,1559,6522,36,075,2009
"Putnam County, New York",99265,97428,49261,11644,837,10807,32202,1966,30236,5415,565,4850,48167,11119,1540,9579,31036,1475,29561,6012,873,5139,36,079,2009
"Queens County, New York",2306712,2292003,1114353,252066,110190,141876,746131,116564,629567,116156,24607,91549,1177650,241745,101294,140451,761446,154816,606630,174459,38929,135530,36,081,2009
"Rensselaer County, New York",155541,153245,76318,17269,5912,11357,50674,5152,45522,8375,938,7437,76927,15463,4218,11245,50179,7571,42608,11285,1803,9482,36,083,2009
"Richmond County, New York",491730,484425,235333,57411,16282,41129,153192,20129,133063,24730,3102,21628,249092,56004,16668,39336,159462,24163,135299,33626,5514,28112,36,085,2009
"Rockland County, New York",300173,298223,148199,42961,12646,30315,87996,8393,79603,17242,1843,15399,150024,40083,12627,27456,87444,8991,78453,22497,3286,19211,36,087,2009
"St. Lawrence County, New York",109715,107071,52843,11623,5415,6208,35073,5206,29867,6147,778,5369,54228,10870,4555,6315,34943,7572,27371,8415,1385,7030,36,089,2009
