year,state,county_name,democratic_pres_votes,other_pres_votes,republican_pres_votes,total_pres_votes
2000,alabama,autauga,4942.0,273.0,11993.0,17208.0
2000,alabama,baldwin,13997.0,1611.0,40872.0,56480.0
2000,alabama,barbour,5188.0,111.0,5096.0,10395.0
2000,alabama,bibb,2710.0,118.0,4273.0,7101.0
2000,alabama,blount,4977.0,329.0,12667.0,17973.0
2000,alabama,bullock,3395.0,76.0,1433.0,4904.0
2000,alabama,butler,3606.0,70.0,4127.0,7803.0
2000,alabama,calhoun,15781.0,822.0,22306.0,38909.0
2000,alabama,chambers,5616.0,181.0,6037.0,11834.0
2000,alabama,cherokee,3497.0,172.0,4154.0,7823.0
2000,alabama,chilton,4806.0,220.0,10066.0,15092.0
2000,alabama,choctaw,3707.0,67.0,3600.0,7374.0
2000,alabama,clarke,4679.0,85.0,5988.0,10752.0
2000,alabama,clay,2045.0,119.0,3719.0,5883.0
2000,alabama,cleburne,1664.0,95.0,3333.0,5092.0
2000,alabama,coffee,5220.0,276.0,9938.0,15434.0
2000,alabama,colbert,10543.0,471.0,10518.0,21532.0
2000,alabama,conecuh,2783.0,69.0,2699.0,5551.0
2000,alabama,coosa,2104.0,81.0,2382.0,4567.0
2000,alabama,covington,4440.0,212.0,8961.0,13613.0
2000,alabama,crenshaw,1934.0,68.0,2793.0,4795.0
2000,alabama,cullman,9758.0,610.0,19157.0,29525.0
2000,alabama,dale,4906.0,307.0,10593.0,15806.0
2000,alabama,dallas,10967.0,137.0,7360.0,18464.0
2000,alabama,dekalb,7056.0,402.0,12827.0,20285.0
2000,alabama,elmore,6652.0,375.0,16777.0,23804.0
2000,alabama,escambia,4523.0,162.0,6975.0,11660.0
2000,alabama,etowah,17433.0,828.0,21087.0,39348.0
2000,alabama,fayette,3064.0,162.0,4582.0,7808.0
2000,alabama,franklin,4793.0,191.0,6119.0,11103.0
2000,alabama,geneva,2769.0,202.0,6588.0,9559.0
2000,alabama,greene,3504.0,42.0,850.0,4396.0
2000,alabama,hale,4652.0,95.0,2984.0,7731.0
2000,alabama,henry,2782.0,96.0,4054.0,6932.0
2000,alabama,houston,9412.0,495.0,22150.0,32057.0
2000,alabama,jackson,9066.0,365.0,8475.0,17906.0
2000,alabama,jefferson,129889.0,5383.0,138491.0,273763.0
2000,alabama,lamar,2653.0,126.0,4470.0,7249.0
2000,alabama,lauderdale,13875.0,784.0,17478.0,32137.0
2000,alabama,lawrence,6296.0,218.0,5671.0,12185.0
2000,alabama,lee,14574.0,1257.0,22433.0,38264.0
2000,alabama,limestone,8992.0,438.0,14204.0,23634.0
2000,alabama,lowndes,4557.0,48.0,1638.0,6243.0
2000,alabama,macon,7665.0,75.0,1091.0,8831.0
2000,alabama,madison,48199.0,2968.0,62151.0,113318.0
2000,alabama,marengo,4841.0,77.0,4690.0,9608.0
2000,alabama,marion,4600.0,246.0,6910.0,11756.0
2000,alabama,marshall,10381.0,524.0,17084.0,27989.0
2000,alabama,mobile,58640.0,2943.0,78162.0,139745.0
2000,alabama,monroe,3741.0,57.0,5153.0,8951.0
2000,alabama,montgomery,40371.0,1130.0,38827.0,80328.0
2000,alabama,morgan,16060.0,847.0,25774.0,42681.0
2000,alabama,perry,4020.0,35.0,1732.0,5787.0
2000,alabama,pickens,4143.0,91.0,4306.0,8540.0
2000,alabama,pike,4357.0,129.0,6058.0,10544.0
2000,alabama,randolph,3094.0,159.0,4666.0,7919.0
2000,alabama,russell,8396.0,181.0,6198.0,14775.0
2000,alabama,shelby,13183.0,1294.0,47651.0,62128.0
2000,alabama,st. clair,6485.0,488.0,17117.0,24090.0
2000,alabama,sumter,4415.0,44.0,1629.0,6088.0
2000,alabama,talladega,11264.0,380.0,13807.0,25451.0
2000,alabama,tallapoosa,6183.0,265.0,9805.0,16253.0
2000,alabama,tuscaloosa,24614.0,1497.0,34003.0,60114.0
2000,alabama,walker,11621.0,534.0,13486.0,25641.0
2000,alabama,washington,3386.0,93.0,4117.0,7596.0
2000,alabama,wilcox,3444.0,21.0,1661.0,5126.0
2000,alabama,winston,2692.0,213.0,6413.0,9318.0
2000,alaska,district 1,1284.0,691.0,4681.0,6656.0
2000,alaska,district 10,2194.0,1017.0,5673.0,8884.0
2000,alaska,district 11,2043.0,977.0,3960.0,6980.0
2000,alaska,district 12,2051.0,924.0,4626.0,7601.0
2000,alaska,district 13,2661.0,1429.0,3853.0,7943.0
2000,alaska,district 14,1626.0,492.0,3750.0,5868.0
2000,alaska,district 15,2106.0,1311.0,2453.0,5870.0
2000,alaska,district 16,1969.0,736.0,1980.0,4685.0
2000,alaska,district 17,2230.0,910.0,4564.0,7704.0
2000,alaska,district 18,2739.0,1722.0,5421.0,9882.0
2000,alaska,district 19,2350.0,982.0,4619.0,7951.0
2000,alaska,district 2,2081.0,1072.0,4235.0,7388.0
2000,alaska,district 20,2259.0,1056.0,3648.0,6963.0
2000,alaska,district 21,2309.0,1057.0,3263.0,6629.0
2000,alaska,district 22,2656.0,959.0,4910.0,8525.0
2000,alaska,district 23,1282.0,387.0,2961.0,4630.0
2000,alaska,district 24,1985.0,867.0,5063.0,7915.0
2000,alaska,district 25,1697.0,1015.0,5489.0,8201.0
2000,alaska,district 26,1608.0,1113.0,5869.0,8590.0
2000,alaska,district 27,2199.0,1525.0,6714.0,10438.0
2000,alaska,district 28,2116.0,1811.0,7113.0,11040.0
2000,alaska,district 29,2806.0,1963.0,4054.0,8823.0
2000,alaska,district 3,3693.0,1397.0,3135.0,8225.0
2000,alaska,district 30,1698.0,763.0,3622.0,6083.0
2000,alaska,district 31,1831.0,808.0,3326.0,5965.0
2000,alaska,district 32,1389.0,466.0,4178.0,6033.0
2000,alaska,district 33,1765.0,1143.0,5804.0,8712.0
2000,alaska,district 34,1300.0,611.0,5243.0,7154.0
2000,alaska,district 35,1208.0,896.0,4278.0,6382.0
2000,alaska,district 36,1945.0,625.0,3007.0,5577.0
2000,alaska,district 37,1821.0,482.0,2725.0,5028.0
2000,alaska,district 38,2015.0,494.0,2467.0,4976.0
2000,alaska,district 39,2282.0,585.0,2321.0,5188.0
2000,alaska,district 4,2715.0,981.0,4127.0,7823.0
2000,alaska,district 40,1024.0,371.0,1831.0,3226.0
2000,alaska,district 5,1931.0,961.0,3545.0,6437.0
2000,alaska,district 6,1542.0,696.0,3862.0,6100.0
2000,alaska,district 7,1893.0,1916.0,4868.0,8677.0
2000,alaska,district 8,1498.0,1109.0,5371.0,7978.0
2000,alaska,district 9,1203.0,808.0,4789.0,6800.0
2000,alaska,district 99,0.0,0.0,0.0,0.0
2000,arizona,apache,13025.0,484.0,5947.0,19456.0
2000,arizona,cochise,13360.0,1701.0,18180.0,33241.0
2000,arizona,coconino,20280.0,3041.0,17562.0,40883.0
2000,arizona,gila,7700.0,878.0,9158.0,17736.0
2000,arizona,graham,3355.0,302.0,6007.0,9664.0
2000,arizona,greenlee,1216.0,125.0,1619.0,2960.0
2000,arizona,la paz,1769.0,171.0,2543.0,4483.0
2000,arizona,maricopa,386683.0,35049.0,479967.0,901699.0
2000,arizona,mohave,17470.0,2285.0,24386.0,44141.0
2000,arizona,navajo,11794.0,967.0,12386.0,25147.0
2000,arizona,pima,147688.0,15373.0,124579.0,287640.0
2000,arizona,pinal,19650.0,1518.0,20122.0,41290.0
2000,arizona,santa cruz,5233.0,316.0,3344.0,8893.0
2000,arizona,yavapai,24063.0,4021.0,40144.0,68228.0
2000,arizona,yuma,12055.0,889.0,15708.0,28652.0
2000,arkansas,arkansas,2877.0,142.0,3353.0,6372.0
2000,arkansas,ashley,4253.0,142.0,3876.0,8271.0
2000,arkansas,baxter,6516.0,654.0,9538.0,16708.0
2000,arkansas,benton,17277.0,1531.0,34838.0,53646.0
2000,arkansas,boone,4493.0,573.0,8569.0,13635.0
2000,arkansas,bradley,2122.0,64.0,1793.0,3979.0
2000,arkansas,calhoun,1017.0,40.0,1128.0,2185.0
2000,arkansas,carroll,3595.0,439.0,5556.0,9590.0
2000,arkansas,chicot,2820.0,68.0,1564.0,4452.0
2000,arkansas,clark,4661.0,189.0,3776.0,8626.0
2000,arkansas,clay,3527.0,119.0,2254.0,5900.0
2000,arkansas,cleburne,4120.0,357.0,5730.0,10207.0
2000,arkansas,cleveland,1414.0,89.0,1678.0,3181.0
2000,arkansas,columbia,4003.0,286.0,5018.0,9307.0
2000,arkansas,conway,3496.0,193.0,3545.0,7234.0
2000,arkansas,craighead,12376.0,623.0,12158.0,25157.0
2000,arkansas,crawford,6288.0,533.0,10804.0,17625.0
2000,arkansas,crittenden,7224.0,153.0,5857.0,13234.0
2000,arkansas,cross,3096.0,86.0,3033.0,6215.0
2000,arkansas,dallas,1710.0,44.0,1571.0,3325.0
2000,arkansas,desha,2776.0,116.0,1603.0,4495.0
2000,arkansas,drew,3060.0,106.0,2756.0,5922.0
2000,arkansas,faulkner,11950.0,1211.0,16055.0,29216.0
2000,arkansas,franklin,2674.0,189.0,3277.0,6140.0
2000,arkansas,fulton,1976.0,96.0,2036.0,4108.0
2000,arkansas,garland,15840.0,997.0,19098.0,35935.0
2000,arkansas,grant,2535.0,193.0,3285.0,6013.0
2000,arkansas,greene,6319.0,334.0,5831.0,12484.0
2000,arkansas,hempstead,3937.0,95.0,3257.0,7289.0
2000,arkansas,hot spring,5527.0,412.0,5042.0,10981.0
2000,arkansas,howard,2063.0,70.0,2326.0,4459.0
2000,arkansas,independence,5146.0,303.0,6145.0,11594.0
2000,arkansas,izard,2587.0,144.0,2301.0,5032.0
2000,arkansas,jackson,3651.0,141.0,2280.0,6072.0
2000,arkansas,jefferson,17716.0,720.0,8765.0,27201.0
2000,arkansas,johnson,3270.0,234.0,3657.0,7161.0
2000,arkansas,lafayette,1806.0,39.0,1538.0,3383.0
2000,arkansas,lawrence,3255.0,159.0,2626.0,6040.0
2000,arkansas,lee,2727.0,43.0,1351.0,4121.0
2000,arkansas,lincoln,1957.0,63.0,1526.0,3546.0
2000,arkansas,little river,2883.0,97.0,2283.0,5263.0
2000,arkansas,logan,3283.0,326.0,4487.0,8096.0
2000,arkansas,lonoke,6851.0,486.0,10606.0,17943.0
2000,arkansas,madison,2055.0,186.0,3387.0,5628.0
2000,arkansas,marion,2233.0,380.0,3402.0,6015.0
2000,arkansas,miller,6278.0,191.0,7276.0,13745.0
2000,arkansas,mississippi,7107.0,280.0,5199.0,12586.0
2000,arkansas,monroe,1910.0,54.0,1329.0,3293.0
2000,arkansas,montgomery,1438.0,173.0,2128.0,3739.0
2000,arkansas,nevada,1867.0,75.0,1796.0,3738.0
2000,arkansas,newton,1205.0,193.0,2529.0,3927.0
2000,arkansas,ouachita,5464.0,192.0,4739.0,10395.0
2000,arkansas,perry,1648.0,245.0,2114.0,4007.0
2000,arkansas,phillips,6018.0,141.0,3154.0,9313.0
2000,arkansas,pike,1604.0,92.0,2275.0,3971.0
2000,arkansas,poinsett,4102.0,145.0,2988.0,7235.0
2000,arkansas,polk,2315.0,278.0,4600.0,7193.0
2000,arkansas,pope,6669.0,509.0,11244.0,18422.0
2000,arkansas,prairie,1563.0,82.0,1862.0,3507.0
2000,arkansas,pulaski,68320.0,2965.0,55866.0,127151.0
2000,arkansas,randolph,3019.0,185.0,2673.0,5877.0
2000,arkansas,saline,12700.0,1074.0,18617.0,32391.0
2000,arkansas,scott,1444.0,138.0,2399.0,3981.0
2000,arkansas,searcy,1229.0,219.0,2610.0,4058.0
2000,arkansas,sebastian,15555.0,1121.0,23483.0,40159.0
2000,arkansas,sevier,2095.0,87.0,2111.0,4293.0
2000,arkansas,sharp,3236.0,192.0,3698.0,7126.0
2000,arkansas,st. francis,4986.0,96.0,3414.0,8496.0
2000,arkansas,stone,2043.0,194.0,2623.0,4860.0
2000,arkansas,union,6261.0,701.0,8647.0,15609.0
2000,arkansas,van buren,3202.0,297.0,3485.0,6984.0
2000,arkansas,washington,21425.0,1803.0,28231.0,51459.0
2000,arkansas,white,8342.0,638.0,13170.0,22150.0
2000,arkansas,woodruff,1699.0,54.0,898.0,2651.0
2000,arkansas,yell,3062.0,194.0,3223.0,6479.0
2000,california,alameda,342889.0,32168.0,119279.0,494336.0
2000,california,alpine,265.0,40.0,281.0,586.0
2000,california,amador,5906.0,792.0,8766.0,15464.0
2000,california,butte,31338.0,6799.0,45584.0,83721.0
2000,california,calaveras,7093.0,1184.0,10599.0,18876.0
2000,california,colusa,1745.0,216.0,3629.0,5590.0
2000,california,contra costa,224338.0,15767.0,141373.0,381478.0
2000,california,del norte,3117.0,651.0,4526.0,8294.0
2000,california,el dorado,26220.0,3871.0,42045.0,72136.0
2000,california,fresno,95059.0,8434.0,117342.0,220835.0
2000,california,glenn,2498.0,418.0,5795.0,8711.0
2000,california,humboldt,24851.0,7902.0,23219.0,55972.0
2000,california,imperial,15489.0,924.0,12524.0,28937.0
2000,california,inyo,2652.0,450.0,4713.0,7815.0
2000,california,kern,66003.0,5642.0,110663.0,182308.0
2000,california,kings,11041.0,917.0,16377.0,28335.0
2000,california,lake,10717.0,1503.0,8699.0,20919.0
2000,california,lassen,2982.0,524.0,7080.0,10586.0
2000,california,los angeles,1710505.0,112719.0,871930.0,2695154.0
2000,california,madera,11650.0,1462.0,20283.0,33395.0
2000,california,marin,79135.0,9148.0,34872.0,123155.0
2000,california,mariposa,2816.0,531.0,4727.0,8074.0
2000,california,mendocino,16634.0,5504.0,12272.0,34410.0
2000,california,merced,22726.0,1590.0,26102.0,50418.0
2000,california,modoc,945.0,193.0,2969.0,4107.0
2000,california,mono,1788.0,287.0,2296.0,4371.0
2000,california,monterey,67618.0,6155.0,43761.0,117534.0
2000,california,napa,28097.0,2994.0,20633.0,51724.0
2000,california,nevada,17670.0,3811.0,25998.0,47479.0
2000,california,orange,391819.0,37787.0,541299.0,970905.0
2000,california,placer,42449.0,5515.0,69835.0,117799.0
2000,california,plumas,3458.0,600.0,6343.0,10401.0
2000,california,riverside,202576.0,16596.0,231955.0,451127.0
2000,california,sacramento,212792.0,23139.0,195619.0,431550.0
2000,california,san benito,9131.0,685.0,7015.0,16831.0
2000,california,san bernardino,214749.0,18387.0,221757.0,454893.0
2000,california,san diego,437666.0,45232.0,475736.0,958634.0
2000,california,san francisco,241578.0,26712.0,51496.0,319786.0
2000,california,san joaquin,79776.0,5690.0,81773.0,167239.0
2000,california,san luis obispo,44526.0,7501.0,56859.0,108886.0
2000,california,san mateo,166757.0,12346.0,80296.0,259399.0
2000,california,santa barbara,73411.0,10070.0,71493.0,154974.0
2000,california,santa clara,332490.0,26889.0,188750.0,548129.0
2000,california,santa cruz,66618.0,12105.0,29627.0,108350.0
2000,california,shasta,20127.0,3139.0,43278.0,66544.0
2000,california,sierra,540.0,135.0,1172.0,1847.0
2000,california,siskiyou,6323.0,1298.0,12198.0,19819.0
2000,california,solano,75116.0,5015.0,51604.0,131735.0
2000,california,sonoma,117295.0,16182.0,63529.0,197006.0
2000,california,stanislaus,56448.0,4631.0,67188.0,128267.0
2000,california,sutter,8416.0,798.0,17350.0,26564.0
2000,california,tehama,6507.0,1077.0,13270.0,20854.0
2000,california,trinity,1932.0,525.0,3340.0,5797.0
2000,california,tulare,33006.0,2742.0,54070.0,89818.0
2000,california,tuolumne,9359.0,1196.0,13172.0,23727.0
2000,california,ventura,133258.0,13261.0,136173.0,282692.0
2000,california,yolo,33747.0,4632.0,23057.0,61436.0
2000,california,yuba,5546.0,743.0,9838.0,16127.0
2000,colorado,adams,54132.0,6159.0,47561.0,107852.0
2000,colorado,alamosa,2455.0,347.0,2857.0,5659.0
2000,colorado,arapahoe,82614.0,9560.0,97768.0,189942.0
2000,colorado,archuleta,1432.0,338.0,2988.0,4758.0
2000,colorado,baca,531.0,84.0,1663.0,2278.0
2000,colorado,bent,783.0,84.0,1096.0,1963.0
2000,colorado,boulder,69983.0,18770.0,50873.0,139626.0
2000,colorado,chaffee,2768.0,542.0,4300.0,7610.0
2000,colorado,cheyenne,209.0,46.0,957.0,1212.0
2000,colorado,clear creek,2188.0,489.0,2247.0,4924.0
2000,colorado,conejos,1749.0,150.0,1772.0,3671.0
2000,colorado,costilla,1054.0,90.0,504.0,1648.0
2000,colorado,crowley,511.0,79.0,855.0,1445.0
2000,colorado,custer,507.0,153.0,1451.0,2111.0
2000,colorado,delta,3264.0,1050.0,8372.0,12686.0
2000,colorado,denver,122693.0,14430.0,61224.0,198347.0
2000,colorado,dolores,293.0,100.0,741.0,1134.0
2000,colorado,douglas,27076.0,3142.0,56007.0,86225.0
2000,colorado,eagle,6772.0,1251.0,7165.0,15188.0
2000,colorado,el paso,61799.0,10664.0,128294.0,200757.0
2000,colorado,elbert,2326.0,488.0,6151.0,8965.0
2000,colorado,fremont,5293.0,849.0,9914.0,16056.0
2000,colorado,garfield,6087.0,1914.0,9103.0,17104.0
2000,colorado,gilpin,1099.0,360.0,1006.0,2465.0
2000,colorado,grand,2308.0,475.0,3570.0,6353.0
2000,colorado,gunnison,3059.0,1049.0,3128.0,7236.0
2000,colorado,hinsdale,188.0,62.0,316.0,566.0
2000,colorado,huerfano,1495.0,213.0,1466.0,3174.0
2000,colorado,jackson,173.0,70.0,682.0,925.0
2000,colorado,jefferson,100970.0,14383.0,120138.0,235491.0
2000,colorado,kiowa,211.0,29.0,728.0,968.0
2000,colorado,kit carson,809.0,107.0,2542.0,3458.0
2000,colorado,la plata,7864.0,2633.0,9993.0,20490.0
2000,colorado,lake,1296.0,276.0,1056.0,2628.0
2000,colorado,larimer,46055.0,10053.0,62429.0,118537.0
2000,colorado,las animas,3243.0,282.0,2569.0,6094.0
2000,colorado,lincoln,510.0,59.0,1630.0,2199.0
2000,colorado,logan,2296.0,269.0,5531.0,8096.0
2000,colorado,mesa,15465.0,3193.0,32396.0,51054.0
2000,colorado,mineral,168.0,24.0,294.0,486.0
2000,colorado,moffat,1223.0,274.0,3840.0,5337.0
2000,colorado,montezuma,2556.0,670.0,6158.0,9384.0
2000,colorado,montrose,4041.0,908.0,9266.0,14215.0
2000,colorado,morgan,2885.0,391.0,5722.0,8998.0
2000,colorado,otero,2963.0,267.0,4082.0,7312.0
2000,colorado,ouray,705.0,249.0,1279.0,2233.0
2000,colorado,park,2393.0,595.0,3677.0,6665.0
2000,colorado,phillips,564.0,83.0,1573.0,2220.0
2000,colorado,pitkin,4137.0,1098.0,2565.0,7800.0
2000,colorado,prowers,1361.0,137.0,3026.0,4524.0
2000,colorado,pueblo,28888.0,2231.0,22827.0,53946.0
2000,colorado,rio blanco,543.0,127.0,2185.0,2855.0
2000,colorado,rio grande,1707.0,257.0,3111.0,5075.0
2000,colorado,routt,4208.0,958.0,4472.0,9638.0
2000,colorado,saguache,1145.0,306.0,1078.0,2529.0
2000,colorado,san juan,149.0,77.0,210.0,436.0
2000,colorado,san miguel,1598.0,614.0,1043.0,3255.0
2000,colorado,sedgwick,384.0,42.0,877.0,1303.0
2000,colorado,summit,5304.0,1267.0,4497.0,11068.0
2000,colorado,teller,2750.0,620.0,6477.0,9847.0
2000,colorado,washington,477.0,90.0,1878.0,2445.0
2000,colorado,weld,23436.0,3696.0,37409.0,64541.0
2000,colorado,yuma,1082.0,120.0,3156.0,4358.0
2000,connecticut,fairfield,193769.0,16861.0,159659.0,370289.0
2000,connecticut,hartford,221167.0,18921.0,127468.0,367556.0
2000,connecticut,litchfield,41806.0,6360.0,39172.0,87338.0
2000,connecticut,middlesex,43319.0,4819.0,29295.0,77433.0
2000,connecticut,new haven,197928.0,20252.0,122919.0,341099.0
2000,connecticut,new london,60449.0,7530.0,41168.0,109147.0
2000,connecticut,statewide writein,0.0,0.0,0.0,0.0
2000,connecticut,tolland,33554.0,4441.0,24705.0,62700.0
2000,connecticut,windham,24023.0,3232.0,16708.0,43963.0
2000,delaware,kent,22790.0,1376.0,24081.0,48247.0
2000,delaware,new castle,127539.0,6869.0,78587.0,212995.0
2000,delaware,sussex,29739.0,1928.0,34620.0,66287.0
2000,district of columbia,district of columbia,171923.0,11898.0,18073.0,201894.0
2000,florida,alachua,47365.0,4240.0,34124.0,85729.0
2000,florida,baker,2392.0,152.0,5610.0,8154.0
2000,florida,bay,18850.0,1318.0,38637.0,58805.0
2000,florida,bradford,3075.0,184.0,5414.0,8673.0
2000,florida,brevard,97318.0,5892.0,115185.0,218395.0
2000,florida,broward,387703.0,9538.0,177902.0,575143.0
2000,florida,calhoun,2155.0,146.0,2873.0,5174.0
2000,florida,charlotte,29645.0,1825.0,35426.0,66896.0
2000,florida,citrus,25525.0,1914.0,29767.0,57206.0
2000,florida,clay,14632.0,985.0,41736.0,57353.0
2000,florida,collier,29921.0,1791.0,60450.0,92162.0
2000,florida,columbia,7047.0,497.0,10964.0,18508.0
2000,florida,desoto,3320.0,241.0,4256.0,7817.0
2000,florida,dixie,1826.0,143.0,2697.0,4666.0
2000,florida,duval,107864.0,4674.0,152098.0,264636.0
2000,florida,escambia,40943.0,2688.0,73017.0,116648.0
2000,florida,flagler,13897.0,601.0,12613.0,27111.0
2000,florida,franklin,2046.0,144.0,2454.0,4644.0
2000,florida,gadsden,9735.0,225.0,4767.0,14727.0
2000,florida,gilchrist,1910.0,185.0,3300.0,5395.0
2000,florida,glades,1442.0,82.0,1841.0,3365.0
2000,florida,gulf,2397.0,197.0,3550.0,6144.0
2000,florida,hamilton,1722.0,96.0,2146.0,3964.0
2000,florida,hardee,2339.0,129.0,3765.0,6233.0
2000,florida,hendry,3240.0,152.0,4747.0,8139.0
2000,florida,hernando,32644.0,1929.0,30646.0,65219.0
2000,florida,highlands,14167.0,776.0,20206.0,35149.0
2000,florida,hillsborough,169557.0,9978.0,180760.0,360295.0
2000,florida,holmes,2177.0,207.0,5011.0,7395.0
2000,florida,indian river,19768.0,1219.0,28635.0,49622.0
2000,florida,jackson,6868.0,294.0,9138.0,16300.0
2000,florida,jefferson,3041.0,125.0,2478.0,5644.0
2000,florida,lafayette,789.0,46.0,1670.0,2505.0
2000,florida,lake,36571.0,2030.0,50010.0,88611.0
2000,florida,lee,73560.0,4676.0,106141.0,184377.0
2000,florida,leon,61427.0,2635.0,39062.0,103124.0
2000,florida,levy,5398.0,468.0,6858.0,12724.0
2000,florida,liberty,1017.0,76.0,1317.0,2410.0
2000,florida,madison,3014.0,110.0,3038.0,6162.0
2000,florida,manatee,49177.0,3092.0,57952.0,110221.0
2000,florida,marion,44665.0,3150.0,55141.0,102956.0
2000,florida,martin,26620.0,1423.0,33970.0,62013.0
2000,florida,miami-dade,328808.0,7108.0,289533.0,625449.0
2000,florida,monroe,16483.0,1354.0,16059.0,33896.0
2000,florida,nassau,6952.0,424.0,16404.0,23780.0
2000,florida,okaloosa,16948.0,1639.0,52093.0,70680.0
2000,florida,okeechobee,4588.0,208.0,5057.0,9853.0
2000,florida,orange,140220.0,5388.0,134517.0,280125.0
2000,florida,osceola,28181.0,1266.0,26212.0,55659.0
2000,florida,palm beach,269732.0,10503.0,152951.0,433186.0
2000,florida,pasco,69564.0,4585.0,68582.0,142731.0
2000,florida,pinellas,200630.0,13017.0,184825.0,398472.0
2000,florida,polk,75200.0,3112.0,90295.0,168607.0
2000,florida,putnam,12102.0,673.0,13447.0,26222.0
2000,florida,santa rosa,12802.0,1243.0,36274.0,50319.0
2000,florida,sarasota,72853.0,4989.0,83100.0,160942.0
2000,florida,seminole,59174.0,2783.0,75677.0,137634.0
2000,florida,st. johns,19502.0,1698.0,39546.0,60746.0
2000,florida,st. lucie,41559.0,1725.0,34705.0,77989.0
2000,florida,sumter,9637.0,497.0,12127.0,22261.0
2000,florida,suwannee,4075.0,392.0,8006.0,12473.0
2000,florida,taylor,2649.0,103.0,4056.0,6808.0
2000,florida,union,1407.0,87.0,2332.0,3826.0
2000,florida,volusia,97304.0,3993.0,82357.0,183654.0
2000,florida,wakulla,3838.0,237.0,4512.0,8587.0
2000,florida,walton,5642.0,494.0,12182.0,18318.0
2000,florida,washington,2798.0,237.0,4994.0,8029.0
2000,georgia,appling,2093.0,66.0,3940.0,6099.0
2000,georgia,atkinson,821.0,22.0,1228.0,2071.0
2000,georgia,bacon,956.0,29.0,2010.0,2995.0
2000,georgia,baker,893.0,11.0,615.0,1519.0
2000,georgia,baldwin,5893.0,192.0,6041.0,12126.0
2000,georgia,banks,1220.0,111.0,3202.0,4533.0
2000,georgia,barrow,3657.0,520.0,7925.0,12102.0
2000,georgia,bartow,7508.0,553.0,14720.0,22781.0
2000,georgia,ben hill,2234.0,46.0,2381.0,4661.0
