state,medicaid_births,pct_medicaid_births,year,num_enrollment,pct_enrollment,num_under_19,pct_under_19,pct_19_64,pct_over_65,governor,senate,house,total_gov,democratic_pres_votes,republican_pres_votes,other_pres_votes,total_pres_votes,enhanced_fmap_pct,fmap_pct,fmap_multiplier
alabama,,,2000,,,,,,,,,,,695602.0,944409.0,32540.0,1672551.0,,,
alaska,,,2000,,,,,,,,,,,79004.0,167398.0,39128.0,285530.0,,,
arizona,,,2000,,,,,,,,,,,685341.0,781652.0,67120.0,1534113.0,,,
arkansas,,,2000,,,,,,,,,,,422768.0,472940.0,26073.0,921781.0,,,
california,,,2000,,,,,,,,,,,5861203.0,4567429.0,537224.0,10965856.0,,,
colorado,,,2000,,,,,,,,,,,738227.0,883745.0,119393.0,1741365.0,,,
connecticut,,,2000,,,,,,,,,,,816015.0,561094.0,82416.0,1459525.0,,,
delaware,,,2000,,,,,,,,,,,180068.0,137288.0,10173.0,327529.0,,,
district of columbia,,,2000,,,,,,,,,,,171923.0,18073.0,11898.0,201894.0,,,
florida,,,2000,,,,,,,,,,,2911417.0,2911215.0,138028.0,5960660.0,,,
georgia,,,2000,,,,,,,,,,,1116230.0,1419720.0,60854.0,2596804.0,,,
hawaii,,,2000,,,,,,,,,,,205242.0,137819.0,24810.0,367871.0,,,
idaho,,,2000,,,,,,,,,,,138637.0,336937.0,26047.0,501621.0,,,
illinois,,,2000,,,,,,,,,,,2589026.0,2019421.0,133676.0,4742123.0,,,
indiana,,,2000,,,,,,,,,,,901980.0,1245836.0,51489.0,2199305.0,,,
iowa,,,2000,,,,,,,,,,,638517.0,634373.0,42673.0,1315563.0,,,
kansas,,,2000,,,,,,,,,,,399276.0,622332.0,50608.0,1072216.0,,,
kentucky,,,2000,,,,,,,,,,,638898.0,872492.0,32797.0,1544187.0,,,
louisiana,,,2000,,,,,,,,,,,792344.0,927871.0,45441.0,1765656.0,,,
maine,,,2000,,,,,,,,,,,319951.0,286616.0,45250.0,651817.0,,,
maryland,,,2000,,,,,,,,,,,1145782.0,813797.0,65901.0,2025480.0,,,
massachusetts,,,2000,,,,,,,,,,,1616487.0,878502.0,207995.0,2702984.0,,,
michigan,,,2000,,,,,,,,,,,2170418.0,1953139.0,109154.0,4232711.0,,,
minnesota,,,2000,,,,,,,,,,,1168266.0,1109659.0,160760.0,2438685.0,,,
mississippi,,,2000,,,,,,,,,,,404964.0,573230.0,16732.0,994926.0,,,
missouri,,,2000,,,,,,,,,,,1111138.0,1189924.0,58830.0,2359892.0,,,
montana,,,2000,,,,,,,,,,,137126.0,240178.0,33682.0,410986.0,,,
nebraska,,,2000,,,,,,,,,,,231780.0,433862.0,31377.0,697019.0,,,
nevada,,,2000,,,,,,,,,,,279978.0,301575.0,27417.0,608970.0,,,
new hampshire,,,2000,,,,,,,,,,,266348.0,273559.0,29174.0,569081.0,,,
new jersey,,,2000,,,,,,,,,,,1788850.0,1284173.0,114203.0,3187226.0,,,
new mexico,,,2000,,,,,,,,,,,286783.0,286417.0,25405.0,598605.0,,,
new york,,,2000,,,,,,,,,,,4107697.0,2403374.0,310928.0,6821999.0,,,
north carolina,,,2000,,,,,,,,,,,1257692.0,1631163.0,22407.0,2911262.0,,,
north dakota,,,2000,,,,,,,,,,,95284.0,174852.0,18131.0,288267.0,,,
ohio,,,2000,,,,,,,,,,,2186190.0,2351209.0,168058.0,4705457.0,,,
oklahoma,,,2000,,,,,,,,,,,474276.0,744337.0,15616.0,1234229.0,,,
oregon,,,2000,,,,,,,,,,,720342.0,713577.0,100049.0,1533968.0,,,
pennsylvania,,,2000,,,,,,,,,,,2485967.0,2281127.0,145091.0,4912185.0,,,
rhode island,,,2000,,,,,,,,,,,249508.0,130555.0,29049.0,409112.0,,,
