state_name,enhanced_fmap_pct,year,fmap_pct,fmap_multiplier
alabama,0.7942,2003,,
alaska,0.7079,2003,,
american samoa,0.65,2003,,
arizona,0.7708,2003,,
arkansas,0.82,2003,,
california,0.65,2003,,
colorado,0.65,2003,,
connecticut,0.65,2003,,
delaware,0.65,2003,,
district of columbia,0.79,2003,,
florida,0.7118,2003,,
georgia,0.7172,2003,,
guam,0.65,2003,,
hawaii,0.7114,2003,,
idaho,0.7967,2003,,
illinois,0.65,2003,,
indiana,0.7338,2003,,
iowa,0.7445,2003,,
kansas,0.7211,2003,,
kentucky,0.7892,2003,,
louisiana,0.799,2003,,
maine,0.7635,2003,,
maryland,0.65,2003,,
massachusetts,0.65,2003,,
michigan,0.6879,2003,,
minnesota,0.65,2003,,
mississippi,0.8363,2003,,
missouri,0.7286,2003,,
montana,0.8107,2003,,
nebraska,0.7166,2003,,
nevada,0.6667,2003,,
new hampshire,0.65,2003,,
new jersey,0.65,2003,,
new mexico,0.8219,2003,,
new york,0.65,2003,,
north carolina,0.7379,2003,,
north dakota,0.7785,2003,,
ohio,0.7118,2003,,
oklahoma,0.7939,2003,,
oregon,0.7211,2003,,
pennsylvania,0.6828,2003,,
puerto rico,0.65,2003,,
rhode island,0.6878,2003,,
south carolina,0.7887,2003,,
south dakota,0.757,2003,,
tennessee,0.7521,2003,,
texas,0.7199,2003,,
u.s. virgin islands,0.65,2003,,
utah,0.7987,2003,,
vermont,0.7369,2003,,
virginia,0.6537,2003,,
washington,0.65,2003,,
west virginia,0.8253,2003,,
wisconsin,0.709,2003,,
wyoming,0.7292,2003,,
alabama,0.7953,2004,0.737,2.8023
alaska,0.7087,2004,0.6134,1.5867
american samoa,0.65,2004,0.5295,1.13
arizona,0.7708,2004,0.7021,2.3568
arkansas,0.8227,2004,0.7762,3.4683
california,0.65,2004,0.5295,1.1254
colorado,0.65,2004,0.5295,1.1254
connecticut,0.65,2004,0.5295,1.1254
delaware,0.65,2004,0.5295,1.1254
district of columbia,0.79,2004,0.73,2.6969
florida,0.7125,2004,0.6188,1.6233
georgia,0.7171,2004,0.6255,1.6702
guam,0.65,2004,0.5295,1.13
hawaii,0.7123,2004,0.6185,1.6212
idaho,0.7932,2004,0.7391,2.8329
illinois,0.65,2004,0.5295,1.1254
indiana,0.7362,2004,0.6527,1.8794
iowa,0.7475,2004,0.6688,2.0193
kansas,0.7257,2004,0.6377,1.7601
kentucky,0.7906,2004,0.7304,2.7092
louisiana,0.8014,2004,0.7458,2.9339
maine,0.7621,2004,0.6917,2.2436
maryland,0.65,2004,0.5295,1.1254
massachusetts,0.65,2004,0.5295,1.1254
michigan,0.6912,2004,0.5884,1.4295
minnesota,0.65,2004,0.5295,1.1254
mississippi,0.8396,2004,0.8003,4.0075
missouri,0.7303,2004,0.6442,1.8106
montana,0.81,2004,0.7591,3.1511
nebraska,0.7192,2004,0.6284,1.6911
nevada,0.6845,2004,0.5788,1.3742
new hampshire,0.65,2004,0.5295,1.1254
new jersey,0.65,2004,0.5295,1.1254
new mexico,0.824,2004,0.778,3.5045
new york,0.65,2004,0.5295,1.1254
north carolina,0.74,2004,0.658,1.924
north dakota,0.7782,2004,0.7131,2.4855
ohio,0.7146,2004,0.6218,1.6441
oklahoma,0.7917,2004,0.7351,2.775
oregon,0.7257,2004,0.6376,1.7594
pennsylvania,0.6833,2004,0.5771,1.3646
puerto rico,0.65,2004,0.5295,1.13
rhode island,0.6922,2004,0.5898,1.4378
south carolina,0.789,2004,0.7281,2.6778
south dakota,0.7597,2004,0.6862,2.1867
tennessee,0.7508,2004,0.6754,2.0807
texas,0.7215,2004,0.6317,1.7152
u.s. virgin islands,0.65,2004,0.5295,1.13
utah,0.802,2004,0.7467,2.9479
vermont,0.7294,2004,0.6536,1.8868
virginia,0.65,2004,0.5348,1.1496
washington,0.65,2004,0.5295,1.1254
west virginia,0.8263,2004,0.7814,3.5746
wisconsin,0.7089,2004,0.6138,1.5893
wyoming,0.7184,2004,0.6427,1.7988
alabama,0.7958,2005,0.7083,2.4282
alaska,0.7031,2005,0.5758,1.3574
american samoa,0.65,2005,0.5,1.0
arizona,0.7722,2005,0.6745,2.0722
arkansas,0.8233,2005,0.7475,2.9604
california,0.65,2005,0.5,1.0
colorado,0.65,2005,0.5,1.0
connecticut,0.65,2005,0.5,1.0
delaware,0.6527,2005,0.5038,1.0153
district of columbia,0.79,2005,0.7,2.3333
florida,0.7123,2005,0.589,1.4331
georgia,0.7231,2005,0.6044,1.5278
guam,0.65,2005,0.5,1.0
hawaii,0.7093,2005,0.5847,1.4079
idaho,0.7943,2005,0.7062,2.4037
illinois,0.65,2005,0.5,1.0
indiana,0.7395,2005,0.6278,1.6867
iowa,0.7449,2005,0.6355,1.7435
kansas,0.7271,2005,0.6101,1.5648
kentucky,0.7872,2005,0.696,2.2895
louisiana,0.7973,2005,0.7104,2.453
maine,0.7542,2005,0.6489,1.8482
maryland,0.65,2005,0.5,1.0
massachusetts,0.65,2005,0.5,1.0
michigan,0.697,2005,0.5671,1.31
minnesota,0.65,2005,0.5,1.0
mississippi,0.8396,2005,0.7708,3.363
missouri,0.7281,2005,0.6115,1.574
montana,0.8033,2005,0.719,2.5587
nebraska,0.7175,2005,0.5964,1.4777
nevada,0.6913,2005,0.559,1.2676
new hampshire,0.65,2005,0.5,1.0
new jersey,0.65,2005,0.5,1.0
new mexico,0.8201,2005,0.743,2.8911
new york,0.65,2005,0.5,1.0
north carolina,0.7454,2005,0.6363,1.7495
north dakota,0.7724,2005,0.6749,2.076
ohio,0.7178,2005,0.5968,1.4802
oklahoma,0.7913,2005,0.7018,2.3535
oregon,0.7278,2005,0.6112,1.572
pennsylvania,0.6769,2005,0.5384,1.1664
puerto rico,0.65,2005,0.5,1.0
rhode island,0.6877,2005,0.5538,1.2411
south carolina,0.7892,2005,0.6989,2.3212
south dakota,0.7622,2005,0.6603,1.9438
tennessee,0.7537,2005,0.6481,1.8417
texas,0.7261,2005,0.6087,1.5556
u.s. virgin islands,0.65,2005,0.5,1.0
utah,0.805,2005,0.7214,2.5894
vermont,0.7208,2005,0.6011,1.5069
virginia,0.65,2005,0.5,1.0
washington,0.65,2005,0.5,1.0
west virginia,0.8226,2005,0.7465,2.9448
wisconsin,0.7082,2005,0.5832,1.3992
wyoming,0.7053,2005,0.579,1.3753
alabama,0.7866,2006,0.6951,2.2798
alaska,0.7031,2006,0.5758,1.3574
american samoa,0.65,2006,0.5,1.0
arizona,0.7689,2006,0.6698,2.0285
arkansas,0.8164,2006,0.7377,2.8124
california,0.65,2006,0.5,1.0
colorado,0.65,2006,0.5,1.0
connecticut,0.65,2006,0.5,1.0
delaware,0.6506,2006,0.5009,1.0036
district of columbia,0.79,2006,0.7,2.3333
florida,0.7122,2006,0.5889,1.4325
georgia,0.7242,2006,0.606,1.5381
guam,0.65,2006,0.5,1.0
hawaii,0.7117,2006,0.5881,1.4278
idaho,0.7894,2006,0.6991,2.3234
illinois,0.65,2006,0.5,1.0
indiana,0.7409,2006,0.6298,1.7012
iowa,0.7453,2006,0.6361,1.748
kansas,0.7229,2006,0.6041,1.5259
kentucky,0.7848,2006,0.6926,2.2531
louisiana,0.7885,2006,0.6979,2.3102
maine,0.7403,2006,0.629,1.6954
maryland,0.65,2006,0.5,1.0
massachusetts,0.65,2006,0.5,1.0
michigan,0.6961,2006,0.5659,1.3036
minnesota,0.65,2006,0.5,1.0
mississippi,0.832,2006,0.76,3.1667
missouri,0.7335,2006,0.6193,1.6267
montana,0.7938,2006,0.7054,2.394
nebraska,0.7178,2006,0.5968,1.4802
nevada,0.6833,2006,0.5476,1.2104
new hampshire,0.65,2006,0.5,1.0
new jersey,0.65,2006,0.5,1.0
new mexico,0.7981,2006,0.7115,2.4662
new york,0.65,2006,0.5,1.0
north carolina,0.7444,2006,0.6349,1.739
north dakota,0.761,2006,0.6585,1.9283
ohio,0.7192,2006,0.5988,1.4925
oklahoma,0.7754,2006,0.6791,2.1162
oregon,0.731,2006,0.6157,1.6021
pennsylvania,0.6854,2006,0.5505,1.2247
puerto rico,0.65,2006,0.5,1.0
rhode island,0.6812,2006,0.5445,1.1954
south carolina,0.7852,2006,0.6932,2.2595
south dakota,0.7555,2006,0.6507,1.8629
tennessee,0.7479,2006,0.6399,1.777
texas,0.7246,2006,0.6066,1.5419
u.s. virgin islands,0.65,2006,0.5,1.0
utah,0.7953,2006,0.7076,2.42
vermont,0.7094,2006,0.5849,1.4091
virginia,0.65,2006,0.5,1.0
washington,0.65,2006,0.5,1.0
west virginia,0.8109,2006,0.7299,2.7023
wisconsin,0.7036,2006,0.5765,1.3613
wyoming,0.6796,2006,0.5423,1.1848
alabama,0.782,2007,0.6885,2.21
alaska,0.7031,2007,0.5758,1.3574
american samoa,0.65,2007,0.5,1.0
arizona,0.7653,2007,0.6647,1.98
arkansas,0.8136,2007,0.7337,2.76
california,0.65,2007,0.5,1.0
colorado,0.65,2007,0.5,1.0
connecticut,0.65,2007,0.5,1.0
delaware,0.65,2007,0.5,1.0
district of columbia,0.79,2007,0.7,2.3333
florida,0.7113,2007,0.5876,1.42
georgia,0.7338,2007,0.6197,1.63
guam,0.65,2007,0.5,1.0
hawaii,0.7029,2007,0.5755,1.36
idaho,0.7925,2007,0.7036,2.37
illinois,0.65,2007,0.5,1.0
indiana,0.7383,2007,0.6261,1.67
iowa,0.7339,2007,0.6198,1.63
kansas,0.7218,2007,0.6025,1.52
kentucky,0.7871,2007,0.6958,2.29
louisiana,0.7878,2007,0.6969,2.3
maine,0.7429,2007,0.6327,1.72
maryland,0.65,2007,0.5,1.0
massachusetts,0.65,2007,0.5,1.0
michigan,0.6947,2007,0.5638,1.2925
minnesota,0.65,2007,0.5,1.0
mississippi,0.8312,2007,0.7589,3.15
missouri,0.7312,2007,0.616,1.6
montana,0.7838,2007,0.6911,2.24
nebraska,0.7055,2007,0.5793,1.38
nevada,0.6775,2007,0.5393,1.17
new hampshire,0.65,2007,0.5,1.0
new jersey,0.65,2007,0.5,1.0
new mexico,0.8035,2007,0.7193,2.56
new york,0.65,2007,0.5,1.0
north carolina,0.7516,2007,0.6452,1.82
north dakota,0.753,2007,0.6472,1.83
ohio,0.7176,2007,0.5966,1.48
oklahoma,0.777,2007,0.6814,2.14
oregon,0.7275,2007,0.6107,1.57
pennsylvania,0.6807,2007,0.5439,1.19
puerto rico,0.65,2007,0.5,1.0
rhode island,0.6665,2007,0.5235,1.1
south carolina,0.7868,2007,0.6954,2.28
south dakota,0.7404,2007,0.6292,1.7
tennessee,0.7456,2007,0.6365,1.75
texas,0.7255,2007,0.6078,1.55
u.s. virgin islands,0.65,2007,0.5,1.0
utah,0.791,2007,0.7014,2.35
vermont,0.7125,2007,0.5893,1.43
virginia,0.65,2007,0.5,1.0
washington,0.6508,2007,0.5012,1.0
west virginia,0.8097,2007,0.7282,2.68
wisconsin,0.7023,2007,0.5747,1.35
wyoming,0.6704,2007,0.5291,1.12
alabama,0.7733,2008,0.6762,2.0883
alaska,0.6674,2008,0.5248,1.1044
american samoa,0.65,2008,0.5,1.0
arizona,0.7634,2008,0.662,1.9586
arkansas,0.8106,2008,0.7294,2.6955
california,0.65,2008,0.5,1.0
colorado,0.65,2008,0.5,1.0
connecticut,0.65,2008,0.5,1.0
delaware,0.65,2008,0.5,1.0
district of columbia,0.79,2008,0.7,2.33
florida,0.6978,2008,0.5683,1.3164
georgia,0.7417,2008,0.631,1.71
guam,0.65,2008,0.5,1.0
hawaii,0.6955,2008,0.565,1.2989
idaho,0.7891,2008,0.6987,2.319
illinois,0.65,2008,0.5,1.0
indiana,0.7388,2008,0.6269,1.6802
iowa,0.7321,2008,0.6173,1.613
kansas,0.716,2008,0.5943,1.4649
kentucky,0.7885,2008,0.6978,2.3091
louisiana,0.8073,2008,0.7247,2.6324
maine,0.7432,2008,0.6331,1.7255
maryland,0.65,2008,0.5,1.0
massachusetts,0.65,2008,0.5,1.0
michigan,0.7067,2008,0.581,1.3866
minnesota,0.65,2008,0.5,1.0
mississippi,0.834,2008,0.7629,3.2176
missouri,0.7369,2008,0.6242,1.661
montana,0.7797,2008,0.6853,2.1776
nebraska,0.7061,2008,0.5802,1.3821
nevada,0.6685,2008,0.5264,1.1115
new hampshire,0.65,2008,0.5,1.0
new jersey,0.65,2008,0.5,1.0
new mexico,0.7973,2008,0.7104,2.453
new york,0.65,2008,0.5,1.0
north carolina,0.7484,2008,0.6405,1.7816
north dakota,0.7463,2008,0.6375,1.7586
