state_name,medicaid_births,pct_medicaid_births,year
alabama,"29,856",0.5047421007,2016
alaska,"4,418",0.39414756,2016
arizona,"44,242",0.523450071,2016
arkansas,"15,090",0.3942624236,2016
california,"212,090",0.4338753792,2016
colorado,"26,034",0.3908246138,2016
connecticut,"13,628",0.3783978898,2016
delaware,"4,939",0.4493267831,2016
district of columbia,"3,776",0.383039156,2016
florida,"108,955",0.4841971007,2016
georgia,"60,512",0.4653265868,2016
hawaii,"4,560",0.2525056758,2016
idaho,"8,301",0.3692287163,2016
illinois,"59,809",0.387251125,2016
indiana,"34,638",0.4168682529,2016
iowa,"14,899",0.3781184174,2016
kansas,"11,918",0.3131947547,2016
kentucky,"25,559",0.4609460946,2016
louisiana,"39,192",0.6203425243,2016
maine,"5,018",0.3949626131,2016
maryland,"27,917",0.38171352,2016
massachusetts,"17,841",0.2501647574,2016
michigan,"48,052",0.4240568327,2016
minnesota,"21,769",0.312104833,2016
mississippi,"23,356",0.6157983548,2016
missouri,"28,830",0.3859179439,2016
montana,"4,914",0.400097704,2016
nebraska,"8,226",0.3093760578,2016
nevada,"15,774",0.4350248207,2016
new hampshire,"3,003",0.2448031303,2016
new jersey,"31,934",0.3111050493,2016
new mexico,"13,789",0.5584399806,2016
new york,"112,185",0.4788439622,2016
north carolina,"51,155",0.4235421721,2016
north dakota,"2,757",0.2422032856,2016
ohio,"57,643",0.4174457762,2016
oklahoma,"27,643",0.5256122604,2016
oregon,"20,162",0.4427802789,2016
pennsylvania,"44,315",0.3178776119,2016
rhode island,"5,275",0.4885163919,2016
south carolina,"28,534",0.4976108263,2016
south dakota,"3,811",0.3104684318,2016
tennessee,"40,067",0.4958357568,2016
texas,"185,849",0.4669021497,2016
utah,"12,507",0.2478400444,2016
vermont,"2,483",0.4313759555,2016
virginia,"31,107",0.3036014054,2016
washington,"36,212",0.4001104911,2016
west virginia,"9,328",0.4889145133,2016
wisconsin,"23,994",0.3601891466,2016
wyoming,"2,399",0.3248036826,2016
alabama,"29,120",0.4940533754,2017
alaska,"4,026",0.3854475826,2017
arizona,"43,517",0.5315248192,2017
arkansas,"16,921",0.4509861407,2017
california,"202,943",0.4302757506,2017
colorado,"25,261",0.392361219,2017
connecticut,"13,058",0.3707447262,2017
delaware,"4,855",0.4472593275,2017
district of columbia,"4,155",0.434623431,2017
florida,"109,078",0.4877610339,2017
georgia,"59,425",0.4597927934,2017
hawaii,"5,490",0.3134098305,2017
idaho,"8,196",0.3695054326,2017
illinois,"60,852",0.4073365018,2017
indiana,"33,693",0.4100401606,2017
iowa,"15,381",0.400234192,2017
kansas,"11,466",0.313973548,2017
kentucky,"26,158",0.4777542373,2017
