state,state_name,year,male_under_19_medicaid,male_19_to_64_medicaid,male_65_and_over_medicaid,female_under_19_medicaid,female_19_to_64_medicaid,female_65_and_over_medicaid,num_male_19_medicaid_acs,num_male_19_64_medicaid_acs,num_male_65_medicaid_acs,num_female_19_medicaid_acs,num_female_19_64_medicaid_acs,num_female_65_medicaid_acs,pop_25_over,no_schooling,nursery_4th,gr5_6,gr7_8,gr9,gr10,gr11,gr12_no_diploma,highschool_grad,somecollege_lt1yr,somecollege_1plus,associates,bachelors,masters,profschool,doctorate,total_medicaid_enrollees_acs,share_male_19_medicaid_acs,share_male_19_64_medicaid_acs,share_male_65_medicaid_acs,share_female_19_medicaid_acs,share_female_19_64_medicaid_acs,share_female_65_medicaid_acs,population,num_medicaid_chip_gov,num_medicaid_gov,num_19_to_64_medi_chip_gov,num_expansion_medi_chip_gov,num_65_medi_chip_gov,num_covid_medi_chip_gov,num_18_medi_chip_gov,num_disabled_medi_chip_gov,num_unknown_med_chip_gov,check,pct_enrollment_medicaid_chip_gov,pct_enrollment_medicaid_gov,pct_enrollment_medicaid_acs
1.0,alabama,2012,576274.0,1405091.0,275348.0,551946.0,1516852.0,368311.0,227207.0,114443.0,37646.0,217952.0,177673.0,70316.0,3166424.0,40659.0,248.0,490.0,1412.0,2966.0,7568.0,6328.0,9561.0,31828.0,29720.0,57102.0,83115.0,109739.0,113247.0,57047.0,818162.0,845237.0,17.778209837227823,9.348923425092606,3.172084796146261,16.447714836746094,14.256840390479745,5.996226714307468,4777326.0,,,,,,,,,,,,,0.17692679963644933
1.0,alabama,2013,572500.0,1411803.0,284145.0,548832.0,1522783.0,376852.0,237637.0,115942.0,37734.0,226897.0,183031.0,70366.0,3193338.0,40711.0,221.0,469.0,1397.0,2916.0,6968.0,5580.0,9373.0,29685.0,28317.0,55034.0,79804.0,108517.0,111838.0,58370.0,818315.0,871607.0,17.957722141134134,9.155849459549538,3.087016917008667,16.740720547171733,14.184670389901234,5.874020545234696,4799277.0,799176.0,,,,,,,,,,0.1665200820873644,,0.18161214699630798
1.0,alabama,2014,569167.0,1413888.0,293772.0,546746.0,1527039.0,385341.0,244675.0,118528.0,36890.0,234259.0,186978.0,69550.0,3217902.0,41671.0,234.0,505.0,1414.0,2507.0,6554.0,5465.0,8906.0,27813.0,26460.0,52795.0,76902.0,104999.0,108114.0,60029.0,824979.0,890880.0,17.84421325322435,9.255442192077986,2.941001722145498,16.95962280612201,14.204440144968325,5.795279881461829,4817678.0,,,,,,,,,,,,,0.1849189588843422
1.0,alabama,2015,565814.0,1413444.0,303298.0,544197.0,1526775.0,396258.0,245926.0,124659.0,37438.0,239375.0,193091.0,69187.0,3239351.0,41876.0,238.0,426.0,1319.0,1936.0,6294.0,5386.0,8246.0,24909.0,25272.0,50983.0,74854.0,102733.0,106064.0,59355.0,826272.0,909676.0,17.49859852674337,9.51993502177861,3.0059373102494367,17.021549153266925,14.366745782183141,5.587234205778518,4830620.0,,,,,,,,,,,,,0.18831454347475066
1.0,alabama,2016,562097.0,1412392.0,313938.0,541231.0,1523173.0,408460.0,248020.0,129490.0,38814.0,243664.0,198876.0,69533.0,3261408.0,42577.0,318.0,498.0,1055.0,1769.0,6220.0,5150.0,8068.0,24096.0,23700.0,48567.0,72622.0,98764.0,102370.0,60262.0,828205.0,928397.0,17.332480570164584,9.708785609597683,3.068517616209661,16.935782230123067,14.514957426432938,5.439476547472065,4841164.0,,,171305.83333333334,0.0,112385.0,0.0,636491.6666666666,215413.0,38.916666666666664,1135634.4166666667,,,0.19177144174417557
1.0,alabama,2017,595816.0,1374069.0,323400.0,574514.0,1484417.0,418476.0,260639.0,122919.0,38974.0,255127.0,193496.0,68336.0,3276637.0,41118.0,370.0,479.0,1040.0,1750.0,5721.0,4750.0,7492.0,22150.0,22726.0,46809.0,70538.0,95156.0,99612.0,61348.0,831994.0,939491.0,17.951382976067347,9.022484584219487,3.0368481895186807,17.601927886650717,13.987666232500752,5.399690131043014,4850771.0,890561.2857142857,728412.5714285715,164367.0,0.0,113559.66666666669,0.0,649203.0,212575.16666666663,14.0,1139718.8333333335,0.18359169825050198,0.15016428757996853,0.19367869561354267
1.0,alabama,2018,592605.0,1372649.0,333778.0,573167.0,1482733.0,430108.0,258786.0,125890.0,38282.0,254369.0,196325.0,69667.0,3299958.0,41240.0,472.0,496.0,801.0,1831.0,5304.0,4582.0,6895.0,21392.0,22023.0,44356.0,68661.0,93256.0,97758.0,60976.0,838776.0,943319.0,17.862006440692774,9.262141144109531,2.9926809338358877,17.302935027892122,14.117664994862624,5.462571458607064,4864680.0,900099.9166666666,726891.3333333334,161256.91666666666,0.0,116108.0,0.0,658930.9166666666,210597.25,0.0,1146893.0833333333,0.1850275694735659,0.14942222989658793,0.19391182976064203
1.0,alabama,2019,592050.0,1367852.0,343173.0,570945.0,1481002.0,442193.0,259364.0,126921.0,40066.0,252402.0,197887.0,70773.0,3320877.0,40837.0,410.0,492.0,799.0,1628.0,5009.0,4289.0,6159.0,20148.0,21897.0,41331.0,66716.0,91358.0,95627.0,62222.0,841716.0,947413.0,18.05453367856705,9.351825770254173,3.0823558623918057,16.91707922676438,14.130033880453093,5.464171581569502,4876250.0,913181.5,740261.9166666666,164554.91666666666,0.0,118882.5,0.0,672195.25,207230.58333333337,0.0,1162863.25,0.18727126377851833,0.15180967273348714,0.1942913099205332
1.0,alabama,2020,590229.0,1365093.0,352918.0,569906.0,1480532.0,454751.0,260298.0,121524.0,40923.0,253625.0,195493.0,71501.0,3344006.0,41430.0,564.0,488.0,742.0,1792.0,4851.0,3639.0,5709.0,17511.0,19078.0,37846.0,63772.0,88366.0,89293.0,63866.0,839252.0,943364.0,18.042087962689177,9.206705355196664,3.0666480624401022,17.046723070202226,14.144531728888426,5.493303820583402,4893186.0,954311.5,780423.75,178688.5,0.0,121334.16666666669,0.0,699694.3333333334,205733.91666666663,0.0,1205450.9166666667,0.19502865821981832,0.1594919445122258,0.19279136333668903
1.0,alabama,2021,606986.0,1400820.0,365399.0,583437.0,1502225.0,461143.0,268731.0,126217.0,42296.0,258282.0,199259.0,71152.0,3413803.0,43813.0,578.0,488.0,783.0,1937.0,4728.0,3260.0,5227.0,16393.0,16837.0,35928.0,61114.0,84786.0,88988.0,65187.0,864345.0,965937.0,18.162950791796973,9.437692310296546,3.1409674212003873,16.89014364740664,14.091278003890235,5.276967825409219,4997675.0,1046266.3333333334,863228.8333333334,213976.41666666663,0.0,123771.25,0.0,751381.6666666666,213015.75,0.0,1302145.0833333333,0.20935061470250335,0.17272608429586425,0.19327727393237856
