state,benefits_total,benefits_federal,benefits_state,administration_total,administration_federal,administration_state,medicaid_total,medicaid_federal,medicaid_state,year
alabama,5880.23377,4243.158454,1637.075316,216.223796,131.67167799999999,84.552118,6096.457566,4374.830132,1721.627434,2019
alaska,2096.340139,1528.458297,567.881842,147.32888,99.515811,47.813069,2243.669019,1627.974108,615.694911,2019
arizona,13167.873159,10108.684867,3059.188292,314.217545,210.094379,104.123166,13482.090704,10318.779246,3163.311458,2019
arkansas,6842.930884,5230.018232,1612.912652,400.691531,272.849738,127.841793,7243.622415,5502.86797,1740.754445,2019
california,87855.979661,52919.444241,34936.53542,6243.262727,3797.526305,2445.736422,94099.242388,56716.970546,37382.271842,2019
colorado,9201.828436,5310.550298,3891.278138,315.811339,206.7523,109.059039,9517.639775,5517.302598,4000.337177,2019
connecticut,8168.318604,4820.078668,3348.239936,362.231401,238.332044,123.899357,8530.550005,5058.410712,3472.139293,2019
delaware,2245.537767,1461.412877,784.12489,101.343907,66.373039,34.970868,2346.881674,1527.785916,819.095758,2019
florida,24384.268451,14858.014323,9526.254128,744.526653,435.795467,308.731186,25128.795104,15293.80979,9834.985314,2019
georgia,10851.623393,7358.519314,3493.104079,578.506918,367.432343,211.074575,11430.130311,7725.951657,3704.178654,2019
hawaii,2178.370796,1396.322477,782.048319,102.357058,70.431151,31.925907,2280.727854,1466.753628,813.974226,2019
idaho,2143.001207,1525.381648,617.619559,123.38615,78.759433,44.626717,2266.387357,1604.141081,662.246276,2019
illinois,18470.094556,10931.970244,7538.124312,885.457401,564.149003,321.308398,19355.551957,11496.119247,7859.43271,2019
indiana,12439.243969,8885.462609,3553.78136,555.13726,355.003964,200.133296,12994.381229,9240.466573,3753.914656,2019
iowa,5199.821191,3439.319451,1760.50174,152.537364,102.349628,50.187736,5352.358555,3541.669079,1810.689476,2019
kansas,3601.873235,2060.867276,1541.005959,196.909569,128.089499,68.82007,3798.782804,2188.956775,1609.826029,2019
kentucky,10207.733005,7964.41922,2243.313785,302.594119,211.553879,91.04024,10510.327124,8175.973099,2334.354025,2019
louisiana,11642.038286,8433.312381,3208.725905,405.288855,264.378022,140.910833,12047.327141,8697.690403,3349.636738,2019
maine,2867.136972,1884.882929,982.254043,151.862966,103.805535,48.057431,3018.999938,1988.688464,1030.311474,2019
maryland,11730.18655,7067.216831,4662.969719,524.283991,340.502558,183.781433,12254.470541,7407.719389,4846.751152,2019
massachusetts,17412.67018,9646.776919,7765.893261,1226.859764,739.624461,487.235303,18639.529944,10386.40138,8253.128564,2019
michigan,18257.869906,12974.280582,5283.589324,731.231914,502.043773,229.188141,18989.10182,13476.324355,5512.777465,2019
