"Title: Births Financed by Medicaid | KFF"
"Timeframe: 2017"
"Location","Number of Births Financed by Medicaid","Percent of Births Financed by Medicaid"
"United States","1,647,833","0.4273980029"
"Alabama","29,120","0.4940533754"
"Alaska","4,026","0.3854475826"
"Arizona","43,517","0.5315248192"
"Arkansas","16,921","0.4509861407"
"California","202,943","0.4302757506"
"Colorado","25,261","0.392361219"
"Connecticut","13,058","0.3707447262"
"Delaware","4,855","0.4472593275"
"District of Columbia","4,155","0.434623431"
"Florida","109,078","0.4877610339"
"Georgia","59,425","0.4597927934"
"Hawaii","5,490","0.3134098305"
"Idaho","8,196","0.3695054326"
"Illinois","60,852","0.4073365018"
"Indiana","33,693","0.4100401606"
"Iowa","15,381","0.400234192"
"Kansas","11,466","0.313973548"
"Kentucky","26,158","0.4777542373"
"Louisiana","38,340","0.6283391786"
"Maine","4,804","0.3906326232"
"Maryland","28,631","0.3996454544"
"Massachusetts","19,652","0.2779553619"
"Michigan","46,989","0.4217058855"
"Minnesota","21,871","0.3188424812"
"Mississippi","23,339","0.6247557352"
"Missouri","27,919","0.3822740094"
"Montana","4,864","0.4122383253"
"Nebraska","8,822","0.3416598892"
"Nevada","16,834","0.4708021031"
"New Hampshire","3,091","0.2551172004"
"New Jersey","31,194","0.3080888889"
"New Mexico","13,350","0.5617032019"
"New York","110,653","0.4816507572"
"North Carolina","51,686","0.4302684703"
"North Dakota","2,677","0.2493247648"
"Ohio","57,120","0.4174462114"
"Oklahoma","25,959","0.5169673796"
"Oregon","19,639","0.4501157434"
"Pennsylvania","45,537","0.3305891321"
"Rhode Island","5,146","0.4837375447"
"South Carolina","28,253","0.4954146136"
"South Dakota","3,871","0.3190209329"
"Tennessee","39,045","0.4819418386"
"Texas","180,969","0.4736788378"
"Utah","12,222","0.2515591232"
"Vermont","2,421","0.4281167109"
"Virginia","30,247","0.3012919485"
"Washington","34,135","0.3898380576"
"West Virginia","9,261","0.4959036145"
"Wisconsin","23,500","0.3616775683"
"Wyoming","2,197","0.31826742"

"Sources"
"KFF analysis of Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed [here.](http://wonder.cdc.gov/natality-expanded-current.html)"

"Definitions"
"*N/A*: Data not available."


