"Title: Births Financed by Medicaid | KFF"
"Timeframe: 2022"
"Location","Number of Births Financed by Medicaid","Percent of Births Financed by Medicaid"
"United States","1502152","0.4096"
"Alabama","26210","0.450739"
"Alaska","3569","0.381344"
"Arizona","36153","0.460272"
"Arkansas","13793","0.388853"
"California","168963","0.403153"
"Colorado","22227","0.356299"
"Connecticut","13425","0.379967"
"Delaware","4533","0.419101"
"District of Columbia","3624","0.448793"
"Florida","97798","0.435756"
"Georgia","57915","0.459169"
"Hawaii","5181","0.333505"
"Idaho","7099","0.317047"
"Illinois","49758","0.387674"
"Indiana","32758","0.411279"
"Iowa","14141","0.387361"
"Kansas","10789","0.313625"
"Kentucky","23672","0.45249"
"Louisiana","34642","0.613361"
"Maine","4462","0.368974"
"Maryland","27584","0.401035"
"Massachusetts","21318","0.310831"
"Michigan","38716","0.378378"
"Minnesota","21080","0.329298"
"Mississippi","19866","0.57292"
"Missouri","26658","0.386432"
"Montana","4045","0.362228"
"Nebraska","8766","0.360074"
"Nevada","14167","0.426807"
"New Hampshire","2607","0.215865"
"New Jersey","31012","0.3014"
"New Mexico","11893","0.550245"
"New York","98396","0.473572"
"North Carolina","46609","0.383418"
"North Dakota","2102","0.219714"
"Ohio","50690","0.395302"
"Oklahoma","24580","0.508566"
"Oregon","17209","0.435748"
"Pennsylvania","44317","0.34024"
"Rhode Island","4177","0.406758"
"South Carolina","27434","0.474473"
"South Dakota","3070","0.274083"
"Tennessee","36335","0.441682"
"Texas","188585","0.483873"
"Utah","7918","0.173003"
"Vermont","2021","0.380173"
"Virginia","32139","0.336077"
"Washington","27854","0.334249"
"West Virginia","8056","0.47587"
"Wisconsin","20449","0.340539"
"Wyoming","1787","0.295421"

"Sources"
"KFF analysis of Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed [here.](http://wonder.cdc.gov/natality-expanded-current.html)"

"Definitions"
"*N/A*: Data not available."


